srad,RH,wind,prec,tmax,tmin,year,month,mday
213.5,86.26915,3.1799965,1.5600586,32.52999878,26.85998535,1995,8,29
242,77.73988,3.869999,0.5400696,33.73001099,27.30999756,1995,8,30
265.25,76.78184,5.183998,0.35998535,33.32000732,27.60998535,1995,8,31
271.25,76.1475,3.1399956,0.17999268,34.30999756,28.72000122,1995,9,1
264,73.76959,2.463997,0.120025635,35.17999268,29.67999268,1995,9,2
261.75,67.711235,2.2539978,0.3000183,34.73999023,29.97000122,1995,9,3
232.5,83.00197,3.6099968,0.17999268,33.26998901,25.01998901,1995,9,4
80,88.57783,2.909996,0,29.38998413,26.26000977,1995,9,5
235.75,78.51174,2.343998,0.120025635,35.88998413,28.02999878,1995,9,6
245.25,67.51048,3.0899963,0.24005127,37.32000732,28.20999146,1995,9,7
53,85.03316,2.713997,0.35998535,28.38000488,25.88998413,1995,9,8
151.25,80.70552,3.2479973,0.35998535,31.92999268,24.83999634,1995,9,9
75,83.95005,2.9019966,2.0400696,24.55999756,19.76000977,1995,9,10
83.25,75.35546,2.1679955,1.5600586,23.86999512,20.57998657,1995,9,11
83.5,70.21505,2.4819984,0.060058594,26.3999939,21.54000854,1995,9,12
78.75,80.352905,2.8019981,0.060058594,25.17999268,21.48999023,1995,9,13
95,81.899635,3.8859978,0.17999268,24.44000244,19.95999146,1995,9,14
201.25,72.84213,2.8839989,0.060058594,26.32000732,18.63000488,1995,9,15
144.5,72.69344,3.857998,0.060058594,25.44000244,18.58999634,1995,9,16
253.75,61.993534,3.1779976,0,26.26000977,18.38000488,1995,9,17
244.75,66.16436,2.8019981,0.060058594,26,18.01998901,1995,9,18
141.25,68.37455,2.9439964,0,23.86999512,19.67999268,1995,9,19
152.25,76.23478,2.3359985,0,24.13000488,17.79998779,1995,9,20
242.25,72.51891,2.9839973,0,26.05999756,18.04998779,1995,9,21
232.75,69.53915,2.645996,0,25.88000488,18.35998535,1995,9,22
233,71.26922,2.5139961,0,26.01998901,19.08999634,1995,9,23
99.75,79.83722,2.1919975,0.060058594,25.5,19.75,1995,9,24
106.5,84.57085,1.6719971,0,25.01000977,19.36999512,1995,9,25
132.75,66.14521,3.0159988,0.060058594,26.98999023,18.75,1995,9,26
95.75,70.07137,3.5759964,0,23.29000854,19.10998535,1995,9,27
62.25,85.47957,2.777996,0.060058594,23.70001221,20.08999634,1995,9,28
68,86.43996,2.5459976,0.120025635,24.70999146,19.72000122,1995,9,29
182.5,75.44137,3.1759987,0,26.05999756,19.16000366,1995,9,30
172.5,82.45747,2.7539978,0.35998535,26.25,20.42999268,1995,10,1
180.25,86.703476,2.6939964,1.1999817,27.69000244,21.54000854,1995,10,2
57.5,86.924995,3.8899956,9.900055,21.29000854,16.3999939,1995,10,3
53.25,95.65239,2.5199966,35.76004,16.8500061,14.41000366,1995,10,4
58.25,90.05189,2.6439972,8.820007,16.20999146,14.13000488,1995,10,5
58.25,75.5415,2.659996,0.120025635,19.3999939,15.42001343,1995,10,6
55.75,76.12456,1.829998,0.42004395,18.51000977,15.42001343,1995,10,7
56,86.245735,1.0839958,0.060058594,17.70999146,15.13998413,1995,10,8
49.25,81.13943,1.041996,0,20.47000122,16.51000977,1995,10,9
76.25,80.52345,2.3199959,0,23.04000854,17.67999268,1995,10,10
195.5,77.73724,2.8739967,0,25.82000732,17.04998779,1995,10,11
203,77.585464,3.2359962,0,24.83999634,16.54000854,1995,10,12
203.75,75.58135,3.855999,1.5600586,24.36999512,18.52999878,1995,10,13
48.25,93.40052,2.2819977,5.8200073,21.25,19.70001221,1995,10,14
174.5,82.17587,2.2939987,0.17999268,23.95001221,16.63000488,1995,10,15
186.5,75.17982,2.4199982,0.060058594,22.67999268,14.29000854,1995,10,16
196.75,73.70789,2.2799988,0.060058594,22.82998657,16.61999512,1995,10,17
116.25,71.5397,2.8399963,0.120025635,21.98999023,15.80999756,1995,10,18
79.25,81.137566,3.055996,0.17999268,21.07998657,14.70999146,1995,10,19
131.75,84.86192,1.2279968,0.42004395,20.92999268,16.70001221,1995,10,20
76.75,80.00093,2.0339966,0.060058594,22.13998413,18.38000488,1995,10,21
96.25,74.1589,1.6239967,0,22.92999268,17.86999512,1995,10,22
76.75,71.219666,2.9039955,2.6400146,22.85998535,16.30999756,1995,10,23
92.25,68.72085,4.121998,1.0800476,18.82000732,12.58999634,1995,10,24
194.75,67.24411,1.7779961,0.060058594,19.92001343,12.57998657,1995,10,25
174,70.74566,1.4979973,0,20.98999023,14.51998901,1995,10,26
181.5,70.876724,1.5299988,0,21.42001343,15.77999878,1995,10,27
181,78.02522,0.9379959,0,22.27999878,15.07998657,1995,10,28
157.25,79.8868,1.2279968,0.060058594,22.44000244,15.63998413,1995,10,29
133,68.082825,2.6659966,0,22.83999634,15.92001343,1995,10,30
185.5,38.79921,3.8899956,0,17.51998901,9.25,1995,10,31
184.25,38.020794,3.6759987,0,13.16000366,7.619995117,1995,11,1
182.75,45.839527,1.2399979,0.060058594,13.80999756,7.929992676,1995,11,2
121,60.99861,0.1119957,0,16.16000366,9.600006104,1995,11,3
159.75,64.70182,1.0099983,0,19.76998901,10.61999512,1995,11,4
106.25,78.07126,2.2219963,0,20.73001099,12.88000488,1995,11,5
45.25,88.51073,1.1019974,0,20.8999939,14.19000244,1995,11,6
81.25,53.43148,5.473999,0,13.67001343,5.869995117,1995,11,7
180.25,48.165844,2.2559967,0,13.44000244,6.420013428,1995,11,8
166.75,51.605576,2.423996,0,16.52999878,8.309997559,1995,11,9
154.75,56.028343,3.487999,0,17.61999512,7.459991455,1995,11,10
164.25,63.42522,2.0839958,0.060058594,17.1499939,9.209991455,1995,11,11
161.5,69.6205,2.1559982,0,20.52999878,10.54998779,1995,11,12
42,76.82311,3.5879974,0.90005493,16.32000732,11.92001343,1995,11,13
136.25,64.47584,3.1799965,0,16.01000977,9.450012207,1995,11,14
157.75,64.71092,2.0759964,0,15.25,8.410003662,1995,11,15
152.75,76.317665,1.8879967,0.060058594,16.35998535,8.600006104,1995,11,16
151.5,76.48407,1.8599968,0,18.32000732,9.010009766,1995,11,17
142.75,74.84869,3.0139961,0.17999268,18.48001099,11.1499939,1995,11,18
64.5,73.169975,5.2059975,0.17999268,14.63998413,7.440002441,1995,11,19
140.75,53.97661,3.2019958,0,11.13000488,6.549987793,1995,11,20
137.5,59.943737,1.5599976,0,12.07000732,5.309997559,1995,11,21
142.75,59.197624,3.3539963,0,14.27999878,7.820007324,1995,11,22
125.5,55.557228,6.0619965,0,7.730010986,2.799987793,1995,11,23
155.25,51.03414,3.9319992,0,10.38998413,3.609985352,1995,11,24
150.75,52.793808,2.6399956,0.060058594,14.66000366,5.649993896,1995,11,25
68,62.141006,2.5519981,0.060058594,15.08999634,7.410003662,1995,11,26
44.75,67.7539,3.2979965,0.060058594,12.36999512,8.739990234,1995,11,27
36.25,75.22963,2.9779968,0.3000183,13.16000366,9.089996338,1995,11,28
142,69.42335,3.3119965,0.24005127,15.41000366,7.190002441,1995,11,29
126.5,66.834206,2.9979973,0,13.32000732,7.5,1995,11,30
127.25,69.94118,2.565998,0.060058594,12.51998901,6.049987793,1995,12,1
138.25,70.65012,1.8959961,0.060058594,12.19000244,6.970001221,1995,12,2
32.75,70.24911,2.831997,0,9.320007324,6.959991455,1995,12,3
101.25,53.708923,3.081997,0,8.950012207,3.980010986,1995,12,4
138,41.18534,3.5619965,0,7.049987793,1.529998779,1995,12,5
146.5,42.300743,3.8379974,0,5.910003662,1.059997559,1995,12,6
142.5,37.534027,4.3899956,0,6.369995117,1.459991455,1995,12,7
129,59.42315,2.6339989,0,7.170013428,0.649993896,1995,12,8
139.25,64.87129,2.2039986,0,10.11999512,2.269989014,1995,12,9
138.75,67.663765,2.6399956,0,13.52999878,3.890014648,1995,12,10
44.75,77.68527,2.9999962,0,10.51000977,5.109985352,1995,12,11
108.5,73.25977,3.4839973,0,11.30999756,3.839996338,1995,12,12
76,78.52621,1.6439972,0.060058594,12.41000366,4.970001221,1995,12,13
35.5,78.81756,4.1759987,0,11.98999023,6.869995117,1995,12,14
29.5,68.68279,3.6139984,4.0800476,7.720001221,5.790008545,1995,12,15
39.25,91.44512,4.8379974,8.820007,5.720001221,4.510009766,1995,12,16
82,69.83817,3.567997,0.17999268,8.239990234,4.140014648,1995,12,17
39,70.38036,2.041996,0,6.649993896,2.119995117,1995,12,18
129.5,65.23307,1.105999,0,8.820007324,2.609985352,1995,12,19
76.75,71.15514,1.4759979,0,9.089996338,2.809997559,1995,12,20
122.75,67.822426,1.6479988,0,9.690002441,1.230010986,1995,12,21
102.75,82.7941,1.2039986,0.060058594,10.85998535,0.220001221,1995,12,22
80.5,59.854855,3.213997,0.060058594,10.27999878,2.970001221,1995,12,23
137.75,48.007595,4.959999,0,4.209991455,-0.720001221,1995,12,24
111.75,63.38645,3.9939957,0,4.049987793,-0.809997559,1995,12,25
45.25,69.93787,2.0499954,0,5.5,-0.700012207,1995,12,26
128,72.651276,0.7219963,0,8.350006104,0.549987793,1995,12,27
130,54.03224,3.9779968,0,8.529998779,1.230010986,1995,12,28
133,56.428112,2.4979973,0,5.820007324,0.279998779,1995,12,29
141,55.1905,1.7219963,0,8.470001221,-0.149993896,1995,12,30
132.25,58.532627,3.3679962,0,13,2.720001221,1995,12,31
